label,nota,fattibile,duplicato_di,modulo,costo_q50,costo_prezzi_usati,legale_q50,spesa_P,spesa_D,spesa_C,spesa_A,quota_attacco_q50,costo_mercato,somma_value,n_indisponibili,n_note_negative,punti_medi,sd_stagione,se_media,diff_vs_R01,se_diff_appaiato,serio,p_win,se_p_win,bomber,titolari,rosa_P,rosa_D,rosa_C,rosa_A
R13,escluso/i Raimondo,1,,3-4-3,499.8,499.8,1,38.7,82.4,151.7,227.0,0.454,584.5,5487.3,1,4,3177.3,85.7,13.6,-22.0,8.6,0,0.4,0.077,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Laurientè(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Mangas, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Laurientè, Colombo, Tourè E., Osmajic, Kvernadze"
R14,escluso/i Vlasic,1,,3-4-3,499.9,499.9,1,38.7,90.4,149.5,221.2,0.443,595.4,5533.0,1,3,3179.5,68.0,10.8,-19.8,6.8,0,0.375,0.077,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Ederson D.S.(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Valeri, Obert, Zè Pedro, Veiga D., De Winter","Zaccagni, Ederson D.S., Ekkelenkamp, Frattesi, Cristante, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R15,escluso/i Zaccagni,1,,3-4-3,499.8,499.8,1,37.9,99.4,141.3,221.2,0.443,603.3,5542.2,1,3,3202.9,78.0,12.3,3.6,8.1,1,0.6,0.077,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Ederson D.S.(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Mandas, Okoye, Falcone","Kalulu, Pavlovic, Solet, Vasquez, Valeri, Obert, Zè Pedro, De Winter","Ederson D.S., Vlasic, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R15T,"escluso/i Colombo, Raimondo, Vlasic, Zaccagni",1,,3-4-3,499.0,499.0,1,38.7,90.4,122.4,247.5,0.496,593.4,5476.0,1,1,3148.1,85.6,13.5,-51.2,8.3,0,0.3,0.072,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Ederson D.S.(C) | Ekkelenkamp(C) | Frattesi(C) | Calò(C) | Malen(A) | De Ketelaere(A) | Laurientè(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Valeri, Obert, Zè Pedro, Veiga D., De Winter","Ederson D.S., Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Coulibaly L., Pierotti","Malen, De Ketelaere, Laurientè, Tourè E., Yeboah J., Kvernadze"
R16,due bomber Malen + Martinez L. (attacco 35-80%),1,,3-4-3,500.0,500.0,1,22.3,43.5,97.3,336.9,0.674,577.0,5214.2,0,1,3141.4,97.7,15.5,-57.9,15.9,0,0.375,0.077,Malen,Mandas(P) | Vasquez(D) | Valeri(D) | De Winter(D) | Ederson D.S.(C) | Ekkelenkamp(C) | Frattesi(C) | Calò(C) | Malen(A) | Martinez L.(A) | Raimondo(A),"Mandas, Muric, Palmisani","Vasquez, Valeri, Obert, Mangas, Zè Pedro, Calvani, Veiga D., De Winter","Ederson D.S., Ekkelenkamp, Frattesi, Calò, Coulibaly L., Fitz-Jim, Ngom, Folorunsho","Malen, Martinez L., Raimondo, Tourè E., Osmajic, Kvernadze"
R17,due bomber Malen + Ramos G. (attacco 35-80%),1,,3-4-3,499.5,499.5,1,28.3,53.0,111.5,306.8,0.614,574.4,5289.7,0,2,3158.8,96.4,15.2,-40.5,15.8,0,0.4,0.077,Malen,Mandas(P) | Kalulu(D) | Valeri(D) | De Winter(D) | Zaccagni(C) | Ekkelenkamp(C) | Frattesi(C) | Calò(C) | Malen(A) | Ramos G.(A) | Raimondo(A),"Mandas, Falcone, Palmisani","Kalulu, Valeri, Obert, Mangas, Zè Pedro, Calvani, Veiga D., De Winter","Zaccagni, Ekkelenkamp, Frattesi, Calò, Coulibaly L., Fitz-Jim, Ngom, Folorunsho","Malen, Ramos G., Raimondo, Tourè E., Osmajic, Kvernadze"
R18,due bomber Malen + Hojlund (attacco 35-80%),1,,3-4-3,499.8,499.8,1,28.3,49.7,126.0,295.8,0.592,580.3,5322.0,1,3,3141.8,94.8,15.0,-57.5,14.6,0,0.3,0.072,Malen,Mandas(P) | Solet(D) | Valeri(D) | De Winter(D) | Zaccagni(C) | Ekkelenkamp(C) | Frattesi(C) | Calò(C) | Malen(A) | Hojlund(A) | Raimondo(A),"Mandas, Falcone, Palmisani","Solet, Valeri, Obert, Zè Pedro, Calvani, Veiga D., De Winter, Troilo","Zaccagni, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti, Folorunsho","Malen, Hojlund, Raimondo, Tourè E., Osmajic, Kvernadze"
R19,due bomber Malen + Kolo Muani (attacco 35-80%),1,,3-4-3,500.0,499.9,1,28.3,51.1,125.9,294.6,0.589,558.5,5315.3,1,2,3159.4,106.7,16.9,-39.9,15.8,0,0.4,0.077,Malen,Mandas(P) | Solet(D) | Valeri(D) | De Winter(D) | Zaccagni(C) | Ekkelenkamp(C) | Frattesi(C) | Calò(C) | Malen(A) | Kolo Muani(A) | Raimondo(A),"Mandas, Falcone, Palmisani","Solet, Valeri, Obert, Mangas, Zè Pedro, Veiga D., De Winter, Troilo","Zaccagni, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti, Ngom","Malen, Kolo Muani, Raimondo, Tourè E., Osmajic, Kvernadze"
R20,portiere titolare imposto Mandas,1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R21,portiere titolare imposto Svilar,1,,3-4-3,499.7,499.7,1,73.2,82.4,155.5,188.7,0.378,576.2,5505.2,1,4,3156.8,78.9,12.5,-42.5,8.5,0,0.375,0.077,Ramos G.,Svilar(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Ramos G.(A) | Raimondo(A) | Colombo(A),"Svilar, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Mangas, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Pierotti","Ramos G., Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R22,portiere titolare imposto Vicario,1,,3-4-3,499.7,499.7,1,63.6,68.2,151.7,216.2,0.433,585.3,5488.3,1,4,3199.2,94.0,14.9,-0.1,11.4,1,0.5,0.079,Malen,Vicario(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Vicario, Mandas, Falcone","Kalulu, Solet, Valeri, Obert, Zè Pedro, Calvani, De Winter, Troilo","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Osmajic, Kvernadze"
R23,portiere titolare imposto Maignan,1,,3-4-3,499.9,499.9,1,59.7,68.7,155.3,216.2,0.433,589.5,5493.9,2,4,3177.2,85.4,13.5,-22.1,11.6,0,0.45,0.079,Malen,Maignan(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Maignan, Mandas, Falcone","Kalulu, Solet, Valeri, Obert, Zè Pedro, Calvani, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Volpato, Fazzini, Calò, Pierotti","Malen, Raimondo, Colombo, Tourè E., Osmajic, Kvernadze"
R24,bench_weight 0.15 (modulo non forzabile: ripiego),1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R25,bench_weight 0.45 (modulo non forzabile: ripiego),1,,3-4-3,499.9,499.9,1,38.7,84.7,155.3,221.2,0.443,606.2,5543.5,2,4,3210.3,75.6,11.9,11.0,7.8,1,0.575,0.078,Malen,Mandas(P) | Kalulu(D) | Solet(D) | Valeri(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Solet, Vasquez, Valeri, Obert, Bracaglia, Zè Pedro, De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Volpato, Fazzini, Calò, Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R26,bench_weight 0.15 + lam 0,1,R10,3-4-3,499.5,499.5,1,38.7,89.2,155.5,216.2,0.433,595.5,5527.7,1,4,3193.7,69.1,10.9,-5.6,7.6,1,0.45,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Valeri, Obert, Zè Pedro, Calvani, De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Cristante, Fazzini, Calò, Pierotti","Malen, Raimondo, Colombo, Tourè E., Osmajic, Kvernadze"
R27,bench_weight 0.45 + lam 1,1,R01,3-4-3,499.6,499.6,1,38.7,88.0,151.7,221.2,0.443,597.2,5524.5,1,4,3199.3,71.1,11.2,0.0,0.0,1,0.525,0.079,Malen,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Malen(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Obert, Bracaglia, Zè Pedro, Veiga D., De Winter","Zaccagni, Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L., Pierotti","Malen, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R28,"prezzi di mercato, attacco 35-50%",1,,3-4-3,430.7,499.8,1,37.9,81.8,164.8,146.2,0.339,499.8,5496.8,1,4,3137.7,88.2,13.9,-61.6,11.7,0,0.25,0.068,Raimondo,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | De Ketelaere(A) | Raimondo(A) | Colombo(A),"Mandas, Okoye, Falcone","Kalulu, Pavlovic, Solet, Obert, Zè Pedro, Calvani, Rodriguez Ju., De Winter","Zaccagni, Ederson D.S., Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò, Coulibaly L.","De Ketelaere, Soulè, Laurientè, Raimondo, Colombo, Tourè E."
R29,"prezzi di mercato, nessun vincolo d'attacco",1,,3-4-3,420.1,498.5,1,38.7,99.4,175.4,106.6,0.254,498.5,5549.2,1,4,3161.9,78.5,12.4,-37.4,8.9,0,0.425,0.078,Raimondo,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Zaccagni(C) | Vlasic(C) | Ekkelenkamp(C) | Frattesi(C) | Laurientè(A) | Raimondo(A) | Colombo(A),"Caprile, Mandas, Falcone","Kalulu, Pavlovic, Solet, Vasquez, Valeri, Obert, Zè Pedro, De Winter","Zaccagni, Ederson D.S., Taylor K., Vlasic, Ekkelenkamp, Frattesi, Fazzini, Calò","Laurientè, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
R30,"prezzi di mercato, nessun vincolo, lam 1",1,,3-4-3,432.3,499.9,1,24.9,81.0,219.9,106.6,0.247,499.9,5413.0,1,4,3173.3,99.6,15.8,-26.0,10.6,0,0.425,0.078,Raimondo,Mandas(P) | Kalulu(D) | Pavlovic(D) | Solet(D) | Calhanoglu(C) | Zaccagni(C) | Vlasic(C) | Frattesi(C) | Laurientè(A) | Raimondo(A) | Colombo(A),"Mandas, Bijlow, Stankovic F.","Kalulu, Pavlovic, Solet, Obert, Zè Pedro, Calvani, Veiga D., De Winter","Calhanoglu, Zaccagni, Ederson D.S., Vlasic, Ekkelenkamp, Frattesi, Calò, Coulibaly L.","Laurientè, Raimondo, Colombo, Tourè E., Yeboah J., Kvernadze"
